fix_admin_deal_image_upload_rls_CORRECTED.sql	"Admins can delete deal images for authorized partners"	storage.objects
fix_admin_deal_image_upload_rls_CORRECTED.sql	"Admins can update deal images for authorized partners"	storage.objects
fix_admin_deal_image_upload_rls_CORRECTED.sql	"Admins can upload deal images for authorized partners"	storage.objects
fix_admin_deal_image_upload_rls_CORRECTED.sql	"Admins can view deal images for authorized partners"	storage.objects
fix_admin_deal_image_upload_rls_CORRECTED.sql	"Members can view deal images"	storage.objects
fix_admin_deal_image_upload_rls_CORRECTED.sql	"Trusted partners can delete deal images"	storage.objects
fix_admin_deal_image_upload_rls_CORRECTED.sql	"Trusted partners can update deal images"	storage.objects
fix_admin_deal_image_upload_rls_CORRECTED.sql	"Trusted partners can upload deal images"	storage.objects
fix_admin_deal_image_upload_rls_CORRECTED.sql	"Trusted partners can view deal images"	storage.objects
fix_admin_deal_image_upload_storage_rls.sql	"Admins can delete deal images"	storage.objects
fix_admin_deal_image_upload_storage_rls.sql	"Admins can update deal images"	storage.objects
fix_admin_deal_image_upload_storage_rls.sql	"Admins can upload deal images"	storage.objects
fix_admin_deal_image_upload_storage_rls.sql	"Admins can view all deal images"	storage.objects
fix_admin_deal_rls.sql	"Admins can manage all discounts"	public.trusted_partner_discounts
fix_admin_deal_rls.sql	"Admins can manage deal authorizations"	public.deal_authorizations
fix_admin_email_rls.sql	"admin_memberships_access"	public.memberships
fix_admin_email_rls.sql	"admin_profiles_access"	public.profiles
fix_admin_image_visibility_rls.sql	"Admins can view deal images"	storage.objects
fix_admin_image_visibility_rls.sql	"Members can view deal images"	storage.objects
fix_admin_image_visibility_rls.sql	"Trusted partners can view deal images"	storage.objects
fix_admin_notifications_rls.sql	"notifications_select_own"	notifications
fix_admin_profile_creation_rls.sql	"Admins can insert profiles"	public.profiles
fix_admin_profile_creation_rls.sql	"Admins can update all profiles"	public.profiles
fix_admin_profile_creation_rls.sql	"Admins can view all profiles"	public.profiles
fix_admin_profile_creation_rls.sql	"Users can insert own profile"	public.profiles
